Drug Name,Drug Class,
Accu-Chek Aviva Monitor Kit,"Glucose Meter, Lancet, Lancet Device",
Accu-Chek Aviva Plus Kit,"Glucose Meter, Lancet, Lancet Device",
Accu-Chek Aviva Plus Strip,Glucose Meter Test Strips,
Accu-Chek Aviva Test Strip,Glucose Meter Test Strips,
Accu-Chek Com Cur Control Soln,Glucose Meter Control Solution,
Accu-Chek Com Curve Test Strip,Glucose Meter Test Strips,
Accu-Chek Compact Hi/Lo Soln,"Glucose Meter Control Solution, High, Glucose Meter Control Solution, Low",
Accu-Chek Compact High/Mid Sol,"Glucose Meter Control Solution, High, Glucose Meter Control Solution, Medium",
Accu-Chek Compact Plus Strip,Glucose Meter Test Strips,
Accu-Chek Compact Plus System,"Glucose Meter, Glucose Meter Test Strips, Lancet Device",
Accu-Chek Compact Plus System,"Glucose Meter, Lancet Device",
Accu-Chek Compact Test Strip,Glucose Meter Test Strips,
Accu-Chek Easy Test Strip,Glucose Meter Test Strips,
Accu-Chek Fastclix Lancet,Lancet,
Accu-Chek Fastclix Lancet Dev,"Lancet, Lancet Device",
Accu-Chek Glucose Meter Kit,"Glucose Meter, Lancet, Lancet Device",
Accu-Chek Guide Level,"Glucose Meter Control Solution, High, Glucose Meter Control Solution, Low",
Accu-Chek Guide Me Kit,"Glucose Meter, Lancet, Lancet Device",
Accu-Chek Guide Monitor System,Glucose Meter,
Accu-Chek Guide Test Strip,Glucose Meter Test Strips,
Accu-Chek Instant Test Strip,Glucose Meter Test Strips,
Accu-Chek Multiclix Lancet,Lancet,
Accu-Chek Multiclix Lancet Dev,"Lancet, Lancet Device",
Accu-Chek Nano Monitor Kit,"Glucose Meter, Lancet, Lancet Device",
Accu-Chek Nano Monitor Sys Kit,"Glucose Meter, Lancet, Lancet Device",
Accu-Chek Nano SmartView Soln,Glucose Meter Control Solution,
Accu-Chek Nano SmartView Strip,Glucose Meter Test Strips,
Accu-Chek Safe-T-Pro Lancet,Lancet,
Accu-Chek Soft Touch Lancet,Lancet,
Accu-Chek Soft Touch LancetDev,Lancet Device,
Accu-Chek Softclix Lancet,Lancet,
Accu-Chek Softclix Lancet Dev,Lancet Device,
Accu-Chek Softclix Lancet Dev,"Lancet, Lancet Device",
AccuHist,Brompheniramine Maleate,
AccuHist,Chlorpheniramine Maleate,
AccuHist DM Pediatric Drops,Brompheniramine Maleate,
AccuHist DM Pediatric Syrup,Brompheniramine Maleate,
AccuHist Drops,Chlorpheniramine Maleate,
AccuHist LA Tablet,Atropine Sulfate,
AccuHist PDX Drops,Brompheniramine Maleate,
AccuHist PDX Drops,Chlorpheniramine Maleate,
AccuHist PDX Syrup,Brompheniramine Maleate,
AccuHist Pediatric Soln,Brompheniramine Maleate,
Accuneb,Albuterol Sulfate,
Accupril,Quinapril Hydrochloride,
Accuretic,Quinapril Hydrochloride,
Accutane,Isotretinoin,
Accutrend Cholesterol Soln,"Cholesterol Meter Control Solution, High, Cholesterol Meter Control Solution, Low",
Accutrend Cholesterol Strip,Cholesterol Meter Test Strips,
Accutrend Glucose Control Soln,"Glucose Meter Control Solution, High, Glucose Meter Control Solution, Low",
Accutrend Glucose Test Strip,Glucose Meter Test Strips,
Accutrend Plus Meter Kit,Cholesterol/Glucose Meter,
Accuzyme Oint,Papain,
Accuzyme SE Top Spray,Papain,
Accuzyme Spray,Papain,
Ace Holding Chamber,Inhalation Chamber,
Acebutolol,Acebutolol Hydrochloride,
Acebutolol Hydrochloride USP,Acebutolol Hydrochloride Bulk powder,
Aceon,Perindopril Erbumine,
Acephen,Acetaminophen,
Acepromazine Maleate USP,Acepromazine maleate Bulk powder,
Acerola C,Vitamin C,
ACESO Ag Silic Silv Foam Dress,"Dressing, Foam",
Acesulfame Pot FCC for Cmpding,Acesulfame Potassium Bulk powder,
Acesulfame Pot for Cmpding,Acesulfame Potassium Bulk powder,
Acesulfame Potassium FCC Cmpd,Acesulfame Potassium Bulk powder,
Acesulfame Potassium NF,Acesulfame Potassium Bulk powder,
Aceta,Acetaminophen,
ACETA-GESIC,Acetaminophen,
Aceta-Gesic Tablet,Acetaminophen,
Acetadote,Acetylcysteine,
Acetaminophen,Acetaminophen,
Acetaminophen Cong/Pain Tab,Acetaminophen,
Acetaminophen ES,Acetaminophen,
Acetaminophen ES Fast Rel Tab,Acetaminophen,
Acetaminophen Granular USP,Acetaminophen Bulk powder,
Acetaminophen PM,Acetaminophen,
Acetaminophen Powder USP,Acetaminophen Bulk powder,
Acetaminophen USP,Acetaminophen Bulk powder,
Acetasol,Acetic Acid,
Acetasol HC,Hydrocortisone,
Acetazolamide,Acetazolamide,
Acetazolamide,Acetazolamide Sodium,
Acetazolamide USP,Acetazolamide Bulk powder,
Acetic Acid,Acetic Acid,
Acetic Acid,"Acetic Acid, Glacial",
Acetic Acid Glacial USP,"Acetic Acid, Glacial Bulk liquid",
Acetohexamide,Acetohexamide,
Acetone CP for Technical Use,Acetone Bulk liquid,
Acetone NF,Acetone Bulk liquid,
Acetyl Hexapeptide-8 for Cmpd,Acetyl hexapeptide,
Acetyl L-Carnitine,Acetyl-L-carnitine hydrochloride,
Acetyl Salicylic Acid USP,Aspirin Bulk powder,
Acetyl-D-Glucosamine,Acetylglucosamine Bulk powder,
Acetyl-D-Glucosamine Cmpd,Acetylglucosamine Bulk powder,
Acetyl-D-Glucosamine USP,Acetylglucosamine Bulk powder,
Acetyl-Hexapeptide-8 Pwd Cmpd,Acetyl hexapeptide,
Acetyl-L-Carnitine HCl Cmpding,Acetyl-L-carnitine hydrochloride Bulk powder,
Acetyl-L-Carnitine HCl for Cmp,Acetyl-L-carnitine hydrochloride Bulk powder,
Acetyl-L-Cysteine-N USP,Acetylcysteine Bulk powder,
Acetylcysteine,Acetylcysteine,
Acetylcysteine EP,Acetylcysteine Bulk powder,
Acetylcysteine USP,Acetylcysteine Bulk powder,
Acetylcysteine USP/NF,Acetylcysteine Bulk powder,
Aci-jel Therapeutic Vag Jelly,"Acetic Acid, Glacial",
Acid Control,Ranitidine Hydrochloride,
Acid Control MS,Ranitidine Hydrochloride,
Acid Controller,Famotidine,
Acid Controller MS,Famotidine,
Acid Gone Chewable Tablet,Aluminum Hydroxide,
Acid Gone Susp,Aluminum Hydroxide,
Acid Jelly Vaginal Jelly,"Acetic Acid, Glacial",
Acid Mantle Cream,Petrolatum Topical cream,
Acid Redcer MS,Ranitidine Hydrochloride,
Acid Reducer,Cimetidine,
Acid Reducer,Famotidine,
Acid Reducer,Ranitidine Hydrochloride,
Acid Reducer + Antacid Chw Tab,Famotidine,
Acid Reducer MS,Famotidine,
Acid Reducer MS,Ranitidine Hydrochloride,
Acid Reducer Tablet,Cimetidine,
Acid Reducer Tablet,Famotidine,
Acid Reducer/Antacid Chew Tab,Famotidine,
AcidFree,Calcium,
Acidic Vaginal Gel,"Acetic Acid, Glacial",
Acidoph ES w/ L-Sporogenes Tab,Calcium,
Acidophilis,"Bifidobacterium Animalis, Lactobacillus Acidophilus Chewable tablet",
Acidophilis,Lactobacillus Acidophilus,
Acidophilus,"Bifidobacterium Bifidum, Lactobacillus Acidophilus, Lactobacillus Salivarius, Streptococcus thermophilus Oral capsule",
Acidophilus,Lactobacillus Acidophilus,
Acidophilus,Lactobacillus Acidophilus Oral tablet,
Acidophilus Capsule,"Bifidobacterium Bifidum, Lactobacillus Acidophilus, Lactobacillus Salivarius, Streptococcus thermophilus Oral capsule",
Acidophilus Capsule,Lactobacillus Acidophilus,
Acidophilus Capsule,Lactobacillus Sp.,
Acidophilus ES Probiotic Cap,"Lactobacillus Acidophilus, Bifidobacterium Longum Oral capsule",
Acidophilus ES Tablet,Calcium,
Acidophilus ES Tablet,Lactobacillus Acidophilus,
Acidophilus HP Chewable Tablet,Lactobacillus Acidophilus,
Acidophilus Lacto,Lactobacillus Acidophilus Bulk powder,
Acidophilus Lactobacillus Cmpd,Lactobacillus Acidophilus Bulk powder,
Acidophilus Lactobacillus Cmpd,Lactobacillus Sp. Bulk powder,
Acidophilus PG ES Capsule,Lactobacillus Acidophilus,
Acidophilus Plus Pectin Caplet,Lactobacillus Acidophilus,
Acidophilus Prob Blend Capsule,"Bifidobacterium Bifidum, Lactobacillus Acidophilus, Lactobacillus Salivarius, Streptococcus thermophilus Oral capsule",
Acidophilus Probiotic Capsule,Calcium,
Acidophilus Probiotic Capsule,Lactobacillus Acidophilus,
Acidophilus Probiotic Chew Tab,"Bifidobacterium Animalis, Lactobacillus Acidophilus Chewable tablet",
Acidophilus Probiotic Comp Cap,"Bifidobacterium Sp., Lactobacillus Helveticus, Lactobacillus Sp. Oral capsule",
Acidophilus Probiotic Cplx Tab,"Amylase (Plant), Bifidobacterium Animalis , Bifidobacterium Bifidum, Bromelains, Cellulase, Grapefruit Seed Extract, Hemicellulase, Lactase, Lactobacillus Acidophilus, Lactobacillus brevis, Lactobacil",
Acidophilus Probiotic Tablet,Fructo-oligosaccharides,
Acidophilus w/Citrus Tablet,Calcium,
Acidophilus w/Citrus Tablet,Lactobacillus Acidophilus,
Acidophilus w/Lactis Chewable,"Bifidobacterium Animalis, Lactobacillus Acidophilus Chewable tablet",
Acidophilus w/Pectin Capsule,Calcium,
Acidophilus/Pectin,Lactobacillus Acidophilus,
Acidophilus/Pectin Capsule,Calcium,
Acidophilus/Pectin Capsule,"Lactobacillus Acidophilus, Bifidobacterium Bifidum, Lactobacillus Salivarius, Lactobacillus Bulgaricus, Pectin",
Acidulated,Acidulated Phosphate Fluoride,
Acidulated PO4 Fluoride Soln,Acidulated Phosphate Fluoride,
Acilac,Lactulose,
Aciphex,Rabeprazole Sodium,
ACITPOCHOL PLUS Tablet,Choline Bitartrate,
Acitretin,Acitretin,
Aclaro,Hydroquinone,
Aclaro PD,Hydroquinone,
Aclovate,Alclometasone Dipropionate,
Acne Control,Benzoyl Peroxide,
Acne Fighting Moisturizer,Salicylic Acid,
Acne Medication,Benzoyl Peroxide,
Acne Treatment,Benzoyl Peroxide,
Acne Treatment Cream,Benzoyl Peroxide,
Acne Treatment MS Cream,Benzoyl Peroxide,
Acne Treatment MS Cream,Sulfur,
Acne-10,Benzoyl Peroxide,
Acneclear,Benzoyl Peroxide,
AcnePad Daily Cleansing Pads,Salicylic Acid,
Acnomel Acne Top Cream,Sulfur,
Acriflavine Neutral for Cmpd,Acriflavine Bulk powder,
Actahist,Pseudoephedrine Hydrochloride,
Actamin,Acetaminophen,
Actamine,Pseudoephedrine Hydrochloride,
Actemra,Tocilizumab,
Actemra ACTPen,Tocilizumab,
Acthar,Corticotropin (Porcine),
ActHIB Pwd for Inj,Haemophilus Influenzae Type B Strain,
ActHIB with DTP Pwd for Inj,Corynebacterium Diphtheriae Toxoid antigen (Formaldehyde inactivated),
Acthrel,Corticorelin (Ovine),
Acti-Lance Lite,Lancet,
Acti-Lance Special,Lancet,
Acti-Lance Uni,Lancet,
ACTICARNITINE SF,L-Carnitine,
Acticin,Permethrin,
Acticlate,Doxycycline Hyclate,
Acticon,Dexbrompheniramine Maleate,
Acticon Cold & Allergy Tablet,Dexbrompheniramine Maleate,
Actidogesic,Acetaminophen,
Actidom DMX Solution,Dextromethorphan Hydrobromide,
Actidose-Aqua,Activated Charcoal,
Actidose/Sorb,Activated Charcoal,
Actified Cold & Allergy Tablet,Pseudoephedrine Hydrochloride,
Actified Cold and Allergy Tab,Chlorpheniramine Maleate,
Actified Cold and Sinus Tablet,Acetaminophen,
ACTIFLOVIT Caplet,Bioflavonoids,
Actigall,Ursodiol,
Actimmune,Interferon Gamma-1b (E. coli),
Actinel Cough Solution,Dextromethorphan Hydrobromide,
Actinel DM Solution,Dextromethorphan Hydrobromide,
Actinel Ped Cough Solution,Dextromethorphan Hydrobromide,
Actiphyte of IVY GL for Cmpd,Compounding Base,
Actiq,Fentanyl Citrate,
Actisep Solution,Benzocaine,
Actisep Spray,Benzocaine,
ACTITROM Capsule,Bioflavonoids,
ACTITROM-D Capsule,Bioflavonoids,
Activase,Alteplase,
Activated Charcoal,Activated Charcoal,
Activated Charcoal Powder USP,Activated Charcoal Bulk powder,
Active FE Tablet,Copper,
Active Living Probiotic Cap,"Bifidobacterium Bifidum, Bifidobacterium Longum, Lactobacillus Acidophilus, Lactobacillus Casei, Lactobacillus Sp., Lactobacillus Rhamnosus, Lactobacillus Plantarum, Streptococcus thermophilus Oral ca",
Active OB Softgel,Copper,
ACTIVE Specimen Collection Kit,Furosemide,
Active- Cyclobenzaprine Kit,Cyclobenzaprine,
Active- Ketoprofen,Ketoprofen,
Active- Tramadol,Tramadol,
ACTIVE-PAC with Gabapentin,Gabapentin,
Active-Prep I Kit for Cmpd,Cyclobenzaprine Hydrochloride,
Active-Prep II Kit for Cmpd,Baclofen,
Active-Prep III Kit for Cmpd,Gabapentin,
Active-Prep IV Kit for Cmpd,Camphor,
Active-Prep V Kit for Cmpd,Itraconazole,
Activella,Estradiol,
Actonel,Calcium Carbonate,
Actonel,Risedronate Sodium,
Actoplus Met,Pioglitazone Hydrochloride,
Actoplus Met XR,Pioglitazone Hydrochloride,
Actos,Pioglitazone Hydrochloride,
ACTRIVIT Solution,Folic Acid,
Actron,Ketoprofen,
Acuflex,Acetaminophen,
ACUICYN Eye Clean Solution,Ophthalmic external cleanser,
Acuicyn Eye Hygiene Solution,Ophthalmic external cleanser,
Acular,Ketorolac Tromethamine,
Acular LS,Ketorolac Tromethamine,
Acular PF,Ketorolac Tromethamine,
Acuvail,Ketorolac Tromethamine,
AcuWash Topical Cleanser,Skin Cleanser,
Acyclovir,Acyclovir,
Acyclovir,Acyclovir Sodium,
Acyclovir USP,Acyclovir Bulk powder,
Aczone,Dapsone,
ADA Shampoo Base for Compd,Compounding Base,
Adacel Susp for Inj,Corynebacterium Diphtheriae Toxoid antigen (Formaldehyde inactivated),
Adagen,Pegademase (Bovine),
Adalat,Nifedipine,
Adalat CC,Nifedipine,
Adapalene,Adapalene,
Adapalene PUMP,Adapalene,
Adapalene/BP,Adapalene,
AdaptaDerm Cream for Cmp,Compounding Base,
AdaptaDerm Gel for Cmpd,Topical Gel,
ADASUVE,Loxapine,
Adbeon,Betamethasone Sodium Phosphate,
ADCETRIS,Brentuximab Vedotin,
Adcirca,Tadalafil,
Addamel N Conc Sol for Inj,Zinc Chloride,
Adderall,Amphetamine Aspartate,
Adderall XR,Dextroamphetamine Saccharate,
Addyi,Flibanserin,
Adeflor M Tablet,Calcium,
Adefovir Dipivoxil,Adefovir Dipivoxil,
ADEKs Chewable Tablet,Biotin,
ADEKs Drops,Biotin,
Ademetionine DT,S-Adenosyl-L-Methionine Disulfate Tosylate Bulk powder,
Adempas,Riociguat,
Adenocard,Adenosine,
Adenoscan,Adenosine,
Adenosine,Adenosine,
Adenosine USP,Adenosine Bulk powder,
ADHANSIA XR,Methylphenidate Hydrochloride,
Adipex P,Phentermine Hydrochloride,
Adlyxin,Lixisenatide,
Adlyxin10&20mcg Start Pack,Lixisenatide,
Admelog,Insulin Lispro,
Admelog SoloStar,Insulin Lispro,
Adoxa,Doxycycline Monohydrate,
Adoxa CK Kit,"Distilled Water, Docusate Sodium, Methylparaben, Poloxamer",
Adoxa Pak,Doxycycline Monohydrate,
Adoxa TT Kit,"Distilled Water, Docusate Sodium, Methylparaben, Poloxamer",
Adrenaclick,Epinephrine,
Adrenalin,Epinephrine Hydrochloride,
Adrenocorticotrophic Horm Cmpd,Corticotropin (Porcine) Bulk powder,
Adriamycin,Doxorubicin Hydrochloride,
Adriamycin PFS,Doxorubicin Hydrochloride,
Adriamycin RDF,Doxorubicin Hydrochloride,
Adrucil,Fluorouracil,
Adsorbocarpine,Pilocarpine Hydrochloride,
Adsorbonac,Sodium Chloride,
Adult,"Docosahexaenoic Acid (DHA), Omega-3 Fatty Acids",
Adult Aspirin,Aspirin,
Adult Cold & Sinus MS Soln,Acetaminophen,
Adult Congest/Cough MS Sol,Dextromethorphan Hydrobromide,
Adult Cough DM Syrup,Dextromethorphan Hydrobromide,
Adult Cough/Chest Cong MS Liq,Dextromethorphan Hydrobromide,
Adult Cough/Congest MS Sol,Dextromethorphan Hydrobromide,
Adult Cough/Congest MS Soln,Dextromethorphan Hydrobromide,
Adult DM Maximum Soln,Dextromethorphan Hydrobromide,
Adult Inhaler Spacer Chamber,Inhalation Spacer,
Adult Multi w/Extra C Gummies,Biotin,
Adult Multi w/Extra D3 Gummies,Biotin,
Adult Multivit Gummy Soft Chew,Vitamin A (Palmitate),
Adult Multivitamin D3 Gummies,Biotin,
Adult Multivitamin Gummies,Vitamin A (Acetate),
Adult Multivitamin Gummies,Vitamin A (Palmitate),
Adult Multivitamin Soft Chew,Vitamin A (Palmitate),
Adult Multivitamin Tablet,Biotin,
Adult Pain Reliever ES Liquid,Acetaminophen,
Adult Probiotic Capsule,"Bifidobacterium Breve, Bifidobacterium Longum, Lactobacillus Acidophilus, Lactobacillus Casei, Lactobacillus Rhamnosus, Lactobacillus Plantarum, Lactobacillus lactis, Streptococcus thermophilus Oral c",
Adult Severe Cong Relief Soln,Acetaminophen,
Adult Tussin CF Cough/Cold Liq,Dextromethorphan Hydrobromide,
Adult Tussin CF MAX Liquid,Dextromethorphan Hydrobromide,
Adult Tussin CF Severe Soln,Acetaminophen,
Adult Tussin Chest Cong Soln,Guaifenesin,
Adult Tussin DM MAX Soln,Dextromethorphan Hydrobromide,
Adult Tussin DM MAX Susp,Dextromethorphan Hydrobromide,
Adult Tussin DM MS Solution,Dextromethorphan Hydrobromide,
Adult Tussin DM SF Soln,Dextromethorphan Hydrobromide,
Adult Tussin DM Soln,Dextromethorphan Hydrobromide,
Adult Tussin DM Solution,Dextromethorphan Hydrobromide,
Adult Tussin LA Cough Solution,Dextromethorphan Hydrobromide,
Adult Tussin Mucus/Chest Soln,Guaifenesin,
Adult Tussin Multi-Symptom Liq,Dextromethorphan Hydrobromide,
Adult Vitamin C Gummies Chew,Rose Hips,
Adults,Biotin,
AdultTussin Muc/Chest Cong Sol,Guaifenesin,
Adv Acne Spot Treatment,Salicylic Acid,
Adv Auto BP Monitor System,"Blood Pressure Monitor, Pressure Cuff",
Adv Glucose Meter Test Strip,Glucose Meter Test Strips,
Adv Probiotic Gummies,Bacillus coagulans,
Advair Diskus,Fluticasone Propionate,
Advair HFA,Fluticasone Propionate,
Advance Micro-draw Test Strip,Glucose Meter Test Strips,
Advanced AM/PM,Calcium,
Advanced Antacid Liquid,Aluminum Hydroxide,
Advanced Antacid RS Liquid,Aluminum Hydroxide,
Advanced BP Monitor System,"Blood Pressure Monitor, Pressure Cuff",
Advanced Care Plus Tablet,Calcium Carbonate,
Advanced Eye Drops Ophth Soln,Dextran,
Advanced Eye Health Softgel,Lutein,
Advanced Eye Health Softgel,Omega-3 Fatty Acids,
Advanced Eye Health Softgel,"Omega-3 Fatty Acids, Eicosapentaenoic Acid (EPA)",
Advanced Eye Health Softgel,Vitamin C (Ascorbic Acid),
Advanced Eye Hlth Mini Softgel,"Omega-3 Fatty Acids, Eicosapentaenoic Acid (EPA)",
Advanced Eye Relief Eye Drop,Glycerin,
Advanced Eye Relief Night Oint,Mineral Oil,
Advanced Formula Eye Drops,Dextran,
Advanced Glucose Meter,"Glucose Meter, Lancet, Lancet Device, Protective Cap",
Advanced Lancing Device,Lancet Device,
Advanced Lancing Device,"Lancet, Lancet Device",
Advanced Mobile Lancet,Lancet,
Advanced Multivitamins Tablet,Vitamin A (Acetate),
Advanced NatalCare Tablet,Calcium Carbonate,
Advanced Probiotic Capsule,"Bifidobacterium Animalis, Bifidobacterium Longum, Lactobacillus Casei, Lactobacillus Rhamnosus, Lactobacillus Sp. Oral capsule",
Advanced Probiotic Gummies,Bacillus coagulans,
Advanced Relief Eye Drops,Dextran,
Advanced Stress + Zinc Tablet,Vitamin C,
Advanced Travel Lancet,Lancet,
Advanced-RF NatalCare Tablet,Calcium Carbonate,
Advantage Care Electrolyte Sol,Chloride,
Advate,"Antihemophilic Factor VIII, Plasma/Albumin-Free (Recombinant) (Hamster) (Murine) Lyophilisate for solution for injection with Infusion Set, Sterile Water for Injection",
Advate,"Antihemophilic Factor VIII, Plasma/Albumin-Free (Recombinant) (Hamster) (Murine) Lyophilisate for solution for injection with Sterile Water for Injection",
Advicor,Niacin,
Advil,Ibuprofen,
Advil Allergy & Congestion Tab,Chlorpheniramine Maleate,
Advil Allergy and Sinus Caplet,Chlorpheniramine Maleate,
Advil Child,Ibuprofen,
Advil Child Allergy Sinus Susp,Chlorpheniramine Maleate,
Advil Child Cold Suspension,Ibuprofen,
Advil Child Fev,Ibuprofen,
Advil Child SF,Ibuprofen,
Advil Children's,Ibuprofen,
Advil Cold and Sinus Tablet,Ibuprofen,
Advil Cold/Sinus Liqui-Gel Cap,Ibuprofen,
Advil Flu and Body Ache Tablet,Ibuprofen,
Advil Infant,Ibuprofen,
Advil Jr,Ibuprofen,
Advil Junior,Ibuprofen,
Advil Multi-Sympt Cold/Flu Tab,Chlorpheniramine Maleate,
Advil Multi-Symptom Cold Tab,Chlorpheniramine Maleate,
Advil PM,Ibuprofen,
Advil Sinus Congest & Pain Tab,Ibuprofen,
Advocate Control Solution,Glucose Meter Control Solution,
Advocate Glucose Meter,Glucose Meter,
Advocate High Control Solution,"Glucose Meter Control Solution, High",
Advocate Lancing Device,Lancet Device,
Advocate Level,"Glucose Meter Control Solution, High",
Advocate Low Control Solution,"Glucose Meter Control Solution, Low",
Advocate One-Hand Lance Device,Lancet Device,
Advocate Pull Top Lancet,Lancet,
Advocate Redi-Code Gluc Meter,Glucose Meter,
Advocate Redi-Code Test Strip,Glucose Meter Test Strips,
Advocate Redi-Code+ Gluc Meter,Glucose Meter,
Advocate Redi-Code+ Test Strip,Glucose Meter Test Strips,
Advocate Test Strip,Glucose Meter Test Strips,
Advocate Twist Top Lancet,Lancet,
Adynovate,"Antihemophilic Factor (Recombinant), PEGylated Lyophilisate for solution for injection with Sterile Water for Injection",
Adynovate,"Antihemophilic Factor (Recombinant), PEGylated Lyophilisate for solution for injection with Sterile Water for Injection, Transfer Device",
Adzenys ER,Amphetamine,
Adzenys XR-ODT,Amphetamine,
Aemcolo,Rifamycin,
Aero Otic HC Otic Solution,Chloroxylenol,
Aerobid,Flunisolide,
Aerobid M,Flunisolide,
AeroChamber Plus,"Inhalation Chamber, Valved",
AeroChamber Plus w/Mask,"Inhalation Chamber, Valved with Mask",
AeroChamber Plus w/Mask,"Inhalation Chamber, Valved with Mask",
AeroChamber Plus w/Mask,"Inhalation Chamber, Valved with Mask",
Aerohist,Chlorpheniramine Maleate,
Aerohist Plus ER Tablet,Chlorpheniramine Maleate,
Aerokid Syrup,Chlorpheniramine Maleate,
Aerospan,Flunisolide,
AeroTuss,Dextromethorphan Tannate,
AF Capsicum,Capsaicin,
AF Capsicum Oleoresin Cream,Capsaicin,
Afeditab CR,Nifedipine,
Afinitor,Everolimus,
Afinitor DISPERZ,Everolimus,
Afirmelle,"Inert Oral tablet, Levonorgestrel",
Aflaxen,Naproxen Sodium,
Afluria,Influenza A Virus H1N1 antigen,
Afluria,Influenza Inactivated Trivalent Virus Vaccine (Types A and B) (Avian),
Afluria Quad,Influenza A Virus H1N1 antigen,
Afrezza,Insulin (Human Recombinant),
Afrin,Oxymetazoline Hydrochloride,
Afrin Extra Moist Nasal Spray,Oxymetazoline Hydrochloride,
Afrin Extra Moisturizing Nasal,Oxymetazoline Hydrochloride,
Afrin No Drip Nose Spray,Oxymetazoline Hydrochloride,
Afrin No Drip Severe Cong,Oxymetazoline Hydrochloride,
Afrin No Drip Sinus Nose Spray,Oxymetazoline Hydrochloride,
Afrin Original,Oxymetazoline Hydrochloride,
Afrin Severe Cong Nasal Spray,Oxymetazoline Hydrochloride,
Afrin Severe Congestion Nasal,Oxymetazoline Hydrochloride,
Afrin Sinus,Oxymetazoline Hydrochloride,
Afrin Sinus Nasal Spray,Oxymetazoline Hydrochloride,
AFSTYLA,"Antihemophilic Factor VIII (Recombinant) (Hamster) (Murine) Powder for solution for injection with Alcohol Pad or Swab, IV Transfer Set, Sterile Water for Injection",
Aftate Antifungal Powder Spray,Tolnaftate,
Aftate Antifungal Topical Spry,Tolnaftate,
Aftate Jock Itch Powder Spray,Tolnaftate,
